-------------------------------------------------------------------------------------------------------------------------------------------------
At. num | Ion Charge | El. Name      | Ground Shells (a)    | Ground Level        |      Ionization Energy (b) (eV)      | Uncertainty (c) (eV) |
      9 |         +3 | Fluorine      | 1s2.2s2.2p2          | 3P0                 |      [87.175]                        |     0.017            |
      9 |         +4 | Fluorine      | 1s2.2s2.2p           | 2P*<1/2>            |     [114.249]                        |     0.006            |
      9 |         +5 | Fluorine      | 1s2.2s2              | 1S0                 |      157.16311                       |     0.00025          |
      9 |         +6 | Fluorine      | 1s2.2s               | 2S<1/2>             |      185.1868                        |     0.0006           |
      9 |         +7 | Fluorine      | 1s2                  | 1S0                 |     [953.89805]                      |     0.00010          |
      9 |         +8 | Fluorine      | 1s                   | 2S<1/2>             |    (1103.1175302)                    |     0.0000019        |
     10 |          0 | Neon          | 1s2.2s2.2p6          | 1S0                 |       21.564541                      |     0.000007         |
     10 |         +1 | Neon          | 1s2.2s2.2p5          | 2P*<3/2>            |       40.96297                       |     0.00004          |
     10 |         +2 | Neon          | 1s2.2s2.2p4          | 3P<2>               |       63.4233                        |     0.0003           |
     10 |         +3 | Neon          | 1s2.2s2.2p3          | 4S*<3/2>            |      [97.1900]                       |     0.0025           |
     10 |         +4 | Neon          | 1s2.2s2.2p2          | 3P0                 |      126.247                         |     0.012            |
     10 |         +5 | Neon          | 1s2.2s2.2p           | 2P*<1/2>            |      157.934                         |     0.005            |
     10 |         +6 | Neon          | 1s2.2s2              | 1S0                 |      207.271                         |     0.012            |
     10 |         +7 | Neon          | 1s2.2s               | 2S<1/2>             |     [239.0970]                       |     0.0019           |
     10 |         +8 | Neon          | 1s2                  | 1S0                 |    [1195.80784]                      |     0.00015          |
     10 |         +9 | Neon          | 1s                   | 2S<1/2>             |    (1362.199256)                     |     0.000004         |
     11 |          0 | Sodium        | [Ne].3s              | 2S<1/2>             |        5.13907696                    |     0.00000025       |
     11 |         +1 | Sodium        | 1s2.2s2.2p6          | 1S0                 |       47.28636                       |     0.00025          |
     11 |         +2 | Sodium        | 1s2.2s2.2p5          | 2P*<3/2>            |      [71.6200]                       |     0.0012           |
     11 |         +3 | Sodium        | 1s2.2s2.2p4          | 3P<2>               |      [98.936]                        |     0.012            |
     11 |         +4 | Sodium        | 1s2.2s2.2p3          | 4S*<3/2>            |      138.404                         |     0.012            |
     11 |         +5 | Sodium        | 1s2.2s2.2p2          | 3P0                 |     [172.23]                         |     0.05             |
     11 |         +6 | Sodium        | 1s2.2s2.2p           | 2P*<1/2>            |     [208.504]                        |     0.012            |
     11 |         +7 | Sodium        | 1s2.2s2              | 1S0                 |     [264.192]                        |     0.022            |
     11 |         +8 | Sodium        | 1s2.2s               | 2S<1/2>             |     (299.856)                        |     0.007            |
     11 |         +9 | Sodium        | 1s2                  | 1S0                 |    (1465.134502)                     |     0.000025         |
     11 |        +10 | Sodium        | 1s                   | 2S<1/2>             |    (1648.702285)                     |     0.000005         |
     12 |          0 | Magnesium     | [Ne].3s2             | 1S0                 |        7.646236                      |     0.000004         |
     12 |         +1 | Magnesium     | [Ne].3s              | 2S<1/2>             |       15.035271                      |     0.000006         |
     12 |         +2 | Magnesium     | 1s2.2s2.2p6          | 1S0                 |       80.1436                        |     0.0006           |
     12 |         +3 | Magnesium     | 1s2.2s2.2p5          | 2P*<3/2>            |     [109.2654]                       |     0.0012           |
     12 |         +4 | Magnesium     | 1s2.2s2.2p4          | 3P<2>               |     [141.33]                         |     0.03             |
     12 |         +5 | Magnesium     | 1s2.2s2.2p3          | 4S*<3/2>            |     [186.76]                         |     0.06             |
     12 |         +6 | Magnesium     | 1s2.2s2.2p2          | 3P0                 |     [225.02]                         |     0.06             |
     12 |         +7 | Magnesium     | 1s2.2s2.2p           | 2P*<1/2>            |     [265.924]                        |     0.019            |
     12 |         +8 | Magnesium     | 1s2.2s2              | 1S0                 |     [327.99]                         |     0.04             |
     12 |         +9 | Magnesium     | 1s2.2s               | 2S<1/2>             |     (367.489)                        |     0.007            |
     12 |        +10 | Magnesium     | 1s2                  | 1S0                 |    (1761.80488)                      |     0.00020          |
     12 |        +11 | Magnesium     | 1s                   | 2S<1/2>             |    (1962.663889)                     |     0.000007         |
     13 |          0 | Aluminum      | [Ne].3s2.3p          | 2P*<1/2>            |        5.985769                      |     0.000003         |
     13 |         +1 | Aluminum      | [Ne].3s2             | 1S0                 |       18.82855                       |     0.00005          |
     13 |         +2 | Aluminum      | [Ne].3s              | 2S<1/2>             |       28.447642                      |     0.000025         |
     13 |         +3 | Aluminum      | 1s2.2s2.2p6          | 1S0                 |      119.9924                        |     0.0019           |
     13 |         +4 | Aluminum      | 1s2.2s2.2p5          | 2P*<3/2>            |     [153.8252]                       |     0.0025           |
     13 |         +5 | Aluminum      | 1s2.2s2.2p4          | 3P<2>               |     [190.49]                         |     0.05             |
     13 |         +6 | Aluminum      | 1s2.2s2.2p3          | 4S*<3/2>            |     [241.76]                         |     0.09             |
     13 |         +7 | Aluminum      | 1s2.2s2.2p2          | 3P0                 |     [284.64]                         |     0.07             |
     13 |         +8 | Aluminum      | 1s2.2s2.2p           | 2P*<1/2>            |     [330.21]                         |     0.04             |
     13 |         +9 | Aluminum      | 1s2.2s2              | 1S0                 |     [398.65]                         |     0.06             |
     13 |        +10 | Aluminum      | 1s2.2s               | 2S<1/2>             |     (442.005)                        |     0.007            |
     13 |        +11 | Aluminum      | 1s2                  | 1S0                 |    (2085.97702)                      |     0.00020          |
     13 |        +12 | Aluminum      | 1s                   | 2S<1/2>             |    (2304.140359)                     |     0.000012         |
     14 |          0 | Silicon       | [Ne].3s2.3p2         | 3P0                 |        8.15168                       |     0.00003          |
     14 |         +1 | Silicon       | [Ne].3s2.3p          | 2P*<1/2>            |       16.34585                       |     0.00004          |
     14 |         +2 | Silicon       | [Ne].3s2             | 1S0                 |       33.49300                       |     0.00009          |
     14 |         +3 | Silicon       | [Ne].3s              | 2S<1/2>             |       45.14179                       |     0.00007          |
     14 |         +4 | Silicon       | 1s2.2s2.2p6          | 1S0                 |      166.767                         |     0.003            |
     14 |         +5 | Silicon       | 1s2.2s2.2p5          | 2P*<3/2>            |     [205.279]                        |     0.005            |
     14 |         +6 | Silicon       | 1s2.2s2.2p4          | 3P<2>               |     [246.57]                         |     0.05             |
     14 |         +7 | Silicon       | 1s2.2s2.2p3          | 4S*<3/2>            |     [303.59]                         |     0.05             |
     14 |         +8 | Silicon       | 1s2.2s2.2p2          | 3P0                 |     [351.28]                         |     0.06             |
     14 |         +9 | Silicon       | 1s2.2s2.2p           | 2P*<1/2>            |     [401.38]                         |     0.04             |
     14 |        +10 | Silicon       | 1s2.2s2              | 1S0                 |     [476.273]                        |     0.019            |
     14 |        +11 | Silicon       | 1s2.2s               | 2S<1/2>             |     (523.415)                        |     0.007            |
     14 |        +12 | Silicon       | 1s2                  | 1S0                 |    (2437.65815)                      |     0.00020          |
     14 |        +13 | Silicon       | 1s                   | 2S<1/2>             |    (2673.177958)                     |     0.000017         |
     15 |          0 | Phosphorus    | [Ne].3s2.3p3         | 4S*<3/2>            |       10.486686                      |     0.000015         |
     15 |         +1 | Phosphorus    | [Ne].3s2.3p2         | 3P0                 |      [19.76949]                      |     0.00004          |
     15 |         +2 | Phosphorus    | [Ne].3s2.3p          | 2P*<1/2>            |       30.20264                       |     0.00009          |
     15 |         +3 | Phosphorus    | [Ne].3s2             | 1S0                 |       51.44387                       |     0.00012          |
     15 |         +4 | Phosphorus    | [Ne].3s              | 2S<1/2>             |       65.02511                       |     0.00012          |
     15 |         +5 | Phosphorus    | 1s2.2s2.2p6          | 1S0                 |     [220.430]                        |     0.005            |
     15 |         +6 | Phosphorus    | 1s2.2s2.2p5          | 2P*<3/2>            |     [263.57]                         |     0.06             |
     15 |         +7 | Phosphorus    | 1s2.2s2.2p4          | 3P<2>               |     [309.60]                         |     0.10             |
     15 |         +8 | Phosphorus    | 1s2.2s2.2p3          | 4S*<3/2>            |     [372.31]                         |     0.21             |
     15 |         +9 | Phosphorus    | 1s2.2s2.2p2          | 3P0                 |     [424.40]                         |     0.09             |
     15 |        +10 | Phosphorus    | 1s2.2s2.2p           | 2P*<1/2>            |     [479.44]                         |     0.05             |
     15 |        +11 | Phosphorus    | 1s2.2s2              | 1S0                 |     [560.62]                         |     0.10             |
     15 |        +12 | Phosphorus    | 1s2.2s               | 2S<1/2>             |     (611.741)                        |     0.007            |
     15 |        +13 | Phosphorus    | 1s2                  | 1S0                 |    (2816.90879)                      |     0.00020          |
     15 |        +14 | Phosphorus    | 1s                   | 2S<1/2>             |    (3069.842145)                     |     0.000014         |
     16 |          0 | Sulfur        | [Ne].3s2.3p4         | 3P<2>               |       10.36001                       |     0.00012          |
     16 |         +1 | Sulfur        | [Ne].3s2.3p3         | 4S*<3/2>            |       23.33788                       |     0.00025          |
     16 |         +2 | Sulfur        | [Ne].3s2.3p2         | 3P0                 |      [34.86]                         |     0.04             |
     16 |         +3 | Sulfur        | [Ne].3s2.3p          | 2P*<1/2>            |      [47.222]                        |     0.012            |
     16 |         +4 | Sulfur        | [Ne].3s2             | 1S0                 |       72.5945                        |     0.0004           |
     16 |         +5 | Sulfur        | [Ne].3s              | 2S<1/2>             |       88.0529                        |     0.0004           |
     16 |         +6 | Sulfur        | 1s2.2s2.2p6          | 1S0                 |      280.954                         |     0.007            |
     16 |         +7 | Sulfur        | 1s2.2s2.2p5          | 2P*<3/2>            |      328.794                         |     0.007            |
     16 |         +8 | Sulfur        | 1s2.2s2.2p4          | 3P<2>               |     [379.84]                         |     0.21             |
     16 |         +9 | Sulfur        | 1s2.2s2.2p3          | 4S*<3/2>            |     [447.7]                          |     0.3              |
     16 |        +10 | Sulfur        | 1s2.2s2.2p2          | 3P0                 |     [504.55]                         |     0.12             |
     16 |        +11 | Sulfur        | 1s2.2s2.2p           | 2P*<1/2>            |     [564.41]                         |     0.05             |
     16 |        +12 | Sulfur        | 1s2.2s2              | 1S0                 |     [651.96]                         |     0.12             |
     16 |        +13 | Sulfur        | 1s2.2s               | 2S<1/2>             |     (706.994)                        |     0.007            |
     16 |        +14 | Sulfur        | 1s2                  | 1S0                 |    (3223.7807)                       |     0.0003           |
     16 |        +15 | Sulfur        | 1s                   | 2S<1/2>             |    (3494.188518)                     |     0.000019         |
     17 |          0 | Chlorine      | [Ne].3s2.3p5         | 2P*<3/2>            |       12.967633                      |     0.000016         |
     17 |         +1 | Chlorine      | [Ne].3s2.3p4         | 3P<2>               |       23.81364                       |     0.00012          |
     17 |         +2 | Chlorine      | [Ne].3s2.3p3         | 4S*<3/2>            |      [39.80]                         |     0.11             |
     17 |         +3 | Chlorine      | [Ne].3s2.3p2         | 3P0                 |      [53.24]                         |     0.12             |
     17 |         +4 | Chlorine      | [Ne].3s2.3p          | 2P*<1/2>            |      [67.68]                         |     0.10             |
     17 |         +5 | Chlorine      | [Ne].3s2             | 1S0                 |      [96.94]                         |     0.04             |
     17 |         +6 | Chlorine      | [Ne].3s              | 2S<1/2>             |      114.2013                        |     0.0006           |
     17 |         +7 | Chlorine      | 1s2.2s2.2p6          | 1S0                 |      348.306                         |     0.007            |
     17 |         +8 | Chlorine      | 1s2.2s2.2p5          | 2P*<3/2>            |      400.851                         |     0.012            |
     17 |         +9 | Chlorine      | 1s2.2s2.2p4          | 3P<2>               |     [456.7]                          |     0.4              |
     17 |        +10 | Chlorine      | 1s2.2s2.2p3          | 4S*<3/2>            |     [530.0]                          |     0.4              |
     17 |        +11 | Chlorine      | 1s2.2s2.2p2          | 3P0                 |     [591.58]                         |     0.19             |
     17 |        +12 | Chlorine      | 1s2.2s2.2p           | 2P*<1/2>            |     [656.30]                         |     0.12             |
     17 |        +13 | Chlorine      | 1s2.2s2              | 1S0                 |     [750.23]                         |     0.19             |
     17 |        +14 | Chlorine      | 1s2.2s               | 2S<1/2>             |     (809.198)                        |     0.007            |
     17 |        +15 | Chlorine      | 1s2                  | 1S0                 |    (3658.3438)                       |     0.0003           |
     17 |        +16 | Chlorine      | 1s                   | 2S<1/2>             |    (3946.29179)                      |     0.00007          |
     18 |          0 | Argon         | [Ne].3s2.3p6         | 1S0                 |       15.7596119                     |     0.0000005        |
     18 |         +1 | Argon         | [Ne].3s2.3p5         | 2P*<3/2>            |       27.62967                       |     0.00012          |
     18 |         +2 | Argon         | [Ne].3s2.3p4         | 3P<2>               |      [40.735]                        |     0.012            |
     18 |         +3 | Argon         | [Ne].3s2.3p3         | 4S*<3/2>            |      [59.58]                         |     0.18             |
     18 |         +4 | Argon         | [Ne].3s2.3p2         | 3P0                 |      [74.84]                         |     0.17             |
     18 |         +5 | Argon         | [Ne].3s2.3p          | 2P*<1/2>            |       91.290                         |     0.010            |
     18 |         +6 | Argon         | [Ne].3s2             | 1S0                 |     [124.41]                         |     0.06             |
     18 |         +7 | Argon         | [Ne].3s              | 2S<1/2>             |     [143.4567]                       |     0.0012           |
     18 |         +8 | Argon         | 1s2.2s2.2p6          | 1S0                 |     [422.60]                         |     0.06             |
     18 |         +9 | Argon         | 1s2.2s2.2p5          | 2P*<3/2>            |     [479.76]                         |     0.12             |
     18 |        +10 | Argon         | 1s2.2s2.2p4          | 3P<2>               |     [540.4]                          |     0.6              |
     18 |        +11 | Argon         | 1s2.2s2.2p3          | 4S*<3/2>            |     [619.0]                          |     0.4              |
     18 |        +12 | Argon         | 1s2.2s2.2p2          | 3P0                 |     [685.5]                          |     0.3              |
     18 |        +13 | Argon         | 1s2.2s2.2p           | 2P*<1/2>            |     [755.13]                         |     0.22             |
     18 |        +14 | Argon         | 1s2.2s2              | 1S0                 |     [855.5]                          |     0.3              |
     18 |        +15 | Argon         | 1s2.2s               | 2S<1/2>             |     (918.375)                        |     0.007            |
     18 |        +16 | Argon         | 1s2                  | 1S0                 |    (4120.6657)                       |     0.0004           |
     18 |        +17 | Argon         | 1s                   | 2S<1/2>             |    (4426.22407)                      |     0.00004          |
     19 |          0 | Potassium     | [Ar].4s              | 2S<1/2>             |        4.34066373                    |     0.00000009       |
     19 |         +1 | Potassium     | [Ne].3s2.3p6         | 1S0                 |       31.62500                       |     0.00019          |
     19 |         +2 | Potassium     | [Ne].3s2.3p5         | 2P*<3/2>            |      [45.8031]                       |     0.0017           |
     19 |         +3 | Potassium     | [Ne].3s2.3p4         | 3P<2>               |      [60.917]                        |     0.019            |
     19 |         +4 | Potassium     | [Ne].3s2.3p3         | 4S*<3/2>            |      [82.66]                         |     0.16             |
     19 |         +5 | Potassium     | [Ne].3s2.3p2         | 3P0                 |      [99.44]                         |     0.20             |
     19 |         +6 | Potassium     | [Ne].3s2.3p          | 2P*<1/2>            |      117.56                          |     0.11             |
     19 |         +7 | Potassium     | [Ne].3s2             | 1S0                 |     [154.87]                         |     0.05             |
     19 |         +8 | Potassium     | [Ne].3s              | 2S<1/2>             |     [175.8174]                       |     0.0025           |
     19 |         +9 | Potassium     | 1s2.2s2.2p6          | 1S0                 |     [503.67]                         |     0.07             |
     19 |        +10 | Potassium     | 1s2.2s2.2p5          | 2P*<3/2>            |     [565.6]                          |     0.7              |
     19 |        +11 | Potassium     | 1s2.2s2.2p4          | 3P<2>               |     [631.1]                          |     0.9              |
     19 |        +12 | Potassium     | 1s2.2s2.2p3          | 4S*<3/2>            |     [714.7]                          |     0.5              |
     19 |        +13 | Potassium     | 1s2.2s2.2p2          | 3P0                 |     [786.3]                          |     0.3              |
     19 |        +14 | Potassium     | 1s2.2s2.2p           | 2P*<1/2>            |     [860.92]                         |     0.25             |
     19 |        +15 | Potassium     | 1s2.2s2              | 1S0                 |     [967.7]                          |     0.3              |
     19 |        +16 | Potassium     | 1s2.2s               | 2S<1/2>             |    (1034.542)                        |     0.007            |
     19 |        +17 | Potassium     | 1s2                  | 1S0                 |    (4610.87018)                      |     0.00012          |
     19 |        +18 | Potassium     | 1s                   | 2S<1/2>             |    (4934.04979)                      |     0.00005          |
     20 |          0 | Calcium       | [Ar].4s2             | 1S0                 |        6.11315547                    |     0.00000025       |
     20 |         +1 | Calcium       | [Ar].4s              | 2S<1/2>             |       11.871719                      |     0.000004         |
     20 |         +2 | Calcium       | [Ne].3s2.3p6         | 1S0                 |       50.91316                       |     0.00025          |
     20 |         +3 | Calcium       | [Ne].3s2.3p5         | 2P*<3/2>            |      [67.2732]                       |     0.0021           |
     20 |         +4 | Calcium       | [Ne].3s2.3p4         | 3P<2>               |      [84.34]                         |     0.08             |
     20 |         +5 | Calcium       | [Ne].3s2.3p3         | 4S*<3/2>            |     [108.78]                         |     0.25             |
     20 |         +6 | Calcium       | [Ne].3s2.3p2         | 3P0                 |     [127.21]                         |     0.25             |
     20 |         +7 | Calcium       | [Ne].3s2.3p          | 2P*<1/2>            |      147.24                          |     0.12             |
     20 |         +8 | Calcium       | [Ne].3s2             | 1S0                 |     [188.54]                         |     0.06             |
     20 |         +9 | Calcium       | [Ne].3s              | 2S<1/2>             |     [211.275]                        |     0.004            |
     20 |        +10 | Calcium       | 1s2.2s2.2p6          | 1S0                 |     [591.60]                         |     0.12             |
     20 |        +11 | Calcium       | 1s2.2s2.2p5          | 2P*<3/2>            |     [658.2]                          |     0.9              |
     20 |        +12 | Calcium       | 1s2.2s2.2p4          | 3P<2>               |     [728.6]                          |     1.1              |
     20 |        +13 | Calcium       | 1s2.2s2.2p3          | 4S*<3/2>            |     [817.2]                          |     0.6              |
     20 |        +14 | Calcium       | 1s2.2s2.2p2          | 3P0                 |     [894.0]                          |     0.4              |
     20 |        +15 | Calcium       | 1s2.2s2.2p           | 2P*<1/2>            |     [973.7]                          |     0.3              |
     20 |        +16 | Calcium       | 1s2.2s2              | 1S0                 |    [1086.8]                          |     0.4              |
     20 |        +17 | Calcium       | 1s2.2s               | 2S<1/2>             |    (1157.726)                        |     0.007            |
     20 |        +18 | Calcium       | 1s2                  | 1S0                 |    (5128.8578)                       |     0.0005           |
     20 |        +19 | Calcium       | 1s                   | 2S<1/2>             |    (5469.86358)                      |     0.00006          |
     21 |          0 | Scandium      | [Ar].3d.4s2          | 2D<3/2>             |        6.56149                       |     0.00006          |
     21 |         +1 | Scandium      | [Ar].3d.4s           | 3D<1>               |       12.79977                       |     0.00025          |
     21 |         +2 | Scandium      | [Ar].3d              | 2D<3/2>             |       24.756839                      |     0.000012         |
     21 |         +3 | Scandium      | [Ne].3s2.3p6         | 1S0                 |       73.4894                        |     0.0004           |
     21 |         +4 | Scandium      | [Ne].3s2.3p5         | 2P*<3/2>            |      [91.95]                         |     0.03             |
     21 |         +5 | Scandium      | [Ne].3s2.3p4         | 3P<2>               |     [110.68]                         |     0.05             |
     21 |         +6 | Scandium      | [Ne].3s2.3p3         | 4S*<3/2>            |     [137.99]                         |     0.25             |
     21 |         +7 | Scandium      | [Ne].3s2.3p2         | 3P0                 |     [158.08]                         |     0.25             |
     21 |         +8 | Scandium      | [Ne].3s2.3p          | 2P*<1/2>            |      180.03                          |     0.12             |
     21 |         +9 | Scandium      | [Ne].3s2             | 1S0                 |     [225.18]                         |     0.05             |
     21 |        +10 | Scandium      | [Ne].3s              | 2S<1/2>             |     [249.798]                        |     0.005            |
     21 |        +11 | Scandium      | 1s2.2s2.2p6          | 1S0                 |      687.36                          |     0.12             |
     21 |        +12 | Scandium      | 1s2.2s2.2p5          | 2P*<3/2>            |     [757.7]                          |     1.0              |
     21 |        +13 | Scandium      | 1s2.2s2.2p4          | 3P<2>               |     [833.2]                          |     1.4              |
     21 |        +14 | Scandium      | 1s2.2s2.2p3          | 4S*<3/2>            |     [926.5]                          |     0.7              |
     21 |        +15 | Scandium      | 1s2.2s2.2p2          | 3P0                 |    [1008.6]                          |     0.4              |
     21 |        +16 | Scandium      | 1s2.2s2.2p           | 2P*<1/2>            |    [1093.5]                          |     0.4              |
     21 |        +17 | Scandium      | 1s2.2s2              | 1S0                 |    [1213.1]                          |     0.4              |
     21 |        +18 | Scandium      | 1s2.2s               | 2S<1/2>             |    (1287.957)                        |     0.007            |
     21 |        +19 | Scandium      | 1s2                  | 1S0                 |    (5674.9037)                       |     0.0006           |
     21 |        +20 | Scandium      | 1s                   | 2S<1/2>             |    (6033.75643)                      |     0.00009          |
     22 |          0 | Titanium      | [Ar].3d2.4s2         | 3F<2>               |        6.828120                      |     0.000012         |
     22 |         +1 | Titanium      | [Ar].3d2.4s          | 4F<3/2>             |       13.5755                        |     0.0025           |
     22 |         +2 | Titanium      | [Ar].3d2             | 3F<2>               |       27.49171                       |     0.00025          |
     22 |         +3 | Titanium      | [Ar].3d              | 2D<3/2>             |       43.26717                       |     0.00019          |
     22 |         +4 | Titanium      | [Ne].3s2.3p6         | 1S0                 |       99.299                         |     0.012            |
     22 |         +5 | Titanium      | [Ne].3s2.3p5         | 2P*<3/2>            |     [119.533]                        |     0.025            |
     22 |         +6 | Titanium      | [Ne].3s2.3p4         | 3P<2>               |     [140.68]                         |     0.18             |
     22 |         +7 | Titanium      | [Ne].3s2.3p3         | 4S*<3/2>            |     [170.5]                          |     0.4              |
     22 |         +8 | Titanium      | [Ne].3s2.3p2         | 3P0                 |     [192.1]                          |     0.4              |
     22 |         +9 | Titanium      | [Ne].3s2.3p          | 2P*<1/2>            |      215.92                          |     0.12             |
     22 |        +10 | Titanium      | [Ne].3s2             | 1S0                 |     [265.07]                         |     0.06             |
     22 |        +11 | Titanium      | [Ne].3s              | 2S<1/2>             |     [291.500]                        |     0.005            |
     22 |        +12 | Titanium      | 1s2.2s2.2p6          | 1S0                 |      787.67                          |     0.04             |
     22 |        +13 | Titanium      | 1s2.2s2.2p5          | 2P*<3/2>            |     [864.0]                          |     1.2              |
     22 |        +14 | Titanium      | 1s2.2s2.2p4          | 3P<2>               |     [944.5]                          |     1.6              |
     22 |        +15 | Titanium      | 1s2.2s2.2p3          | 4S*<3/2>            |    [1042.5]                          |     0.8              |
     22 |        +16 | Titanium      | 1s2.2s2.2p2          | 3P0                 |    [1130.2]                          |     0.5              |
     22 |        +17 | Titanium      | 1s2.2s2.2p           | 2P*<1/2>            |    [1220.3]                          |     0.5              |
     22 |        +18 | Titanium      | 1s2.2s2              | 1S0                 |    [1346.3]                          |     0.5              |
     22 |        +19 | Titanium      | 1s2.2s               | 2S<1/2>             |    (1425.257)                        |     0.007            |
     22 |        +20 | Titanium      | 1s2                  | 1S0                 |    (6249.0226)                       |     0.0006           |
     22 |        +21 | Titanium      | 1s                   | 2S<1/2>             |    (6625.81023)                      |     0.00010          |
     23 |          0 | Vanadium      | [Ar].3d3.4s2         | 4F<3/2>             |        6.746187                      |     0.000021         |
     23 |         +1 | Vanadium      | [Ar].3d4             | 5D0                 |       14.634                         |     0.007            |
     23 |         +2 | Vanadium      | [Ar].3d3             | 4F<3/2>             |       29.3111                        |     0.0025           |
     23 |         +3 | Vanadium      | [Ar].3d2             | 3F<2>               |       46.709                         |     0.005            |
     23 |         +4 | Vanadium      | [Ar].3d              | 2D<3/2>             |       65.28165                       |     0.00017          |
     23 |         +5 | Vanadium      | [Ne].3s2.3p6         | 1S0                 |      128.125                         |     0.025            |
     23 |         +6 | Vanadium      | [Ne].3s2.3p5         | 2P*<3/2>            |     [150.72]                         |     0.13             |
     23 |         +7 | Vanadium      | [Ne].3s2.3p4         | 3P<2>               |     [173.55]                         |     0.21             |
     23 |         +8 | Vanadium      | [Ne].3s2.3p3         | 4S*<3/2>            |     [206.0]                          |     0.4              |
     23 |         +9 | Vanadium      | [Ne].3s2.3p2         | 3P0                 |     [230.5]                          |     0.5              |
